3,3,3,3,3,3,3,3,8,6,2,13.2,-9.59,40,w
3,3,3,3,3,3,3,3,8,7,2,12.2,-7.66,38.2,w
3,3,3,3,3,3,3,3,8,7,2,17,-7.19,36.9,w
3,3,3,3,3,3,3,3,8,7,2,14.9,-6.37,39.1,w
5,11,34,20,5,7,8,10,8,6,2,14.5,-10.6,38,w
4,10,30,22,6,6,7,8,8,6,2,16.1,-7.46,39.5,w
4,10,32,23,8,7,7,7,8,6,2,14.7,-10.1,37.9,w
3,9,31,21,7,7,7,7,8,6,2,15.3,-11.8,38,w
3,8,33,20,7,6,8,4,8,6,2,18,-17.4,40.7,w
2,7,33,21,6,5,7,4,8,6,2,15.3,-14.4,39.4,w
2,7,32,21,5,6,8,5,8,7,3,9.39,-14.8,41.2,w
3,8,25,15,7,6,9,7,8,7,3,5.55,-7.81,37.8,w
3,7,24,16,7,6,12,9,8,7,3,7.19,-11,36.5,w
4,8,28,15,7,7,15,10,8,7,3,7.19,-11,36.5,w
4,7,25,12,4,5,17,10,8,7,3,7.19,-11,36.5,w
4,9,28,14,4,5,16,10,8,7,3,7.19,-11,36.5,w
4,8,25,13,5,5,22,9,8,7,3,7.19,-11,36.5,w
5,8,28,13,6,5,25,9,8,7,3,7.19,-11,36.5,w
9,9,34,16,7,5,25,14,8,7,3,7.19,-11,36.5,w
8,6,34,16,6,4,27,16,8,7,3,7.19,-11,36.5,w
9,6,43,20,9,7,28,16,8,7,3,7.19,-11,36.5,w
9,6,38,19,10,7,26,18,8,7,3,7.19,-11,36.5,w
10,6,41,22,10,7,28,22,8,7,3,7.19,-11,36.5,w
11,8,46,21,10,7,35,22,8,7,3,7.19,-11,36.5,w
11,8,46,22,13,10,35,25,8,7,3,7.19,-11,36.5,w
12,11,47,23,14,11,39,29,8,7,3,7.19,-11,36.5,w
9,10,40,26,15,11,40,27,8,7,3,7.19,-11,36.5,w
9,12,38,25,17,11,43,23,8,7,3,7.19,-11,36.5,w
8,12,32,23,18,9,45,22,8,7,3,7.19,-11,36.5,w
8,12,32,28,28,13,48,20,8,7,3,7.19,-11,36.5,w
7,11,33,25,30,13,44,17,8,7,3,7.19,-11,36.5,w
6,9,22,23,30,14,43,17,8,7,3,7.19,-11,36.5,w
7,10,25,22,28,11,36,14,8,7,3,7.19,-11,36.5,w
5,7,25,22,29,10,32,9,8,7,3,7.19,-11,36.5,w
5,7,27,16,29,11,29,9,8,7,3,7.19,-11,36.5,w
5,8,30,15,26,10,23,9,8,7,3,7.19,-11,36.5,w
4,7,23,11,23,10,18,9,8,7,3,7.19,-11,36.5,w
4,8,26,7,12,6,20,7,8,7,3,7.19,-11,36.5,w
4,8,21,6,10,7,21,8,8,7,3,7.19,-11,36.5,w
5,9,28,7,12,7,15,7,8,7,3,7.19,-11,36.5,w
4,8,25,8,11,7,15,11,8,7,3,7.19,-11,36.5,w
4,8,22,9,11,7,13,10,8,7,3,7.19,-11,36.5,w
4,8,20,10,13,6,22,8,8,7,3,7.19,-11,36.5,w
3,6,15,10,15,9,23,8,8,7,3,7.19,-11,36.5,w
4,6,17,11,17,9,27,10,8,7,3,7.19,-11,36.5,w
5,6,14,9,15,8,24,14,8,7,3,7.19,-11,36.5,w
5,5,14,10,16,8,27,14,8,7,3,7.19,-11,36.5,w
6,4,7,10,20,9,34,16,8,7,3,7.19,-11,36.5,w
6,3,10,12,24,12,38,13,8,7,3,7.19,-11,36.5,w
6,3,9,14,26,12,40,14,8,7,3,7.19,-11,36.5,w
