3,3,3,3,3,3,3,3,8,7,7,8.57,-6.09,41.2,h
3,3,3,3,3,3,3,3,8,7,7,8.14,-5.55,41.2,h
3,3,3,3,3,3,3,3,8,7,7,8.5,-5.64,40.9,h
3,3,3,3,3,3,3,3,8,7,7,8.52,-5.86,40.9,h
1,2,1,1,1,1,3,3,8,7,7,8.14,-6.5,40.9,h
1,2,1,1,1,1,4,2,8,7,7,8.38,-6.37,40.8,h
1,1,1,1,1,1,4,2,8,7,7,8.13,-6.27,40.7,h
2,1,1,1,1,1,3,2,8,7,7,8.4,-6.19,41.5,h
1,1,6,3,1,1,3,1,8,7,7,8.71,-4.39,42.3,h
1,1,8,3,1,2,3,1,8,7,7,9.47,-8.18,41.2,h
1,1,9,3,1,4,4,2,8,7,7,8.18,-5.29,39.6,h
1,1,10,3,1,4,3,2,8,7,7,9.43,-6.21,39.5,h
1,1,10,3,1,4,4,1,8,7,7,8.73,-6.33,40.1,h
1,1,17,4,1,4,3,1,8,7,7,8.42,-2.97,41.7,h
1,2,18,4,1,3,3,2,8,7,7,8.98,-3.05,41.3,h
0,2,20,5,1,4,4,1,8,7,7,8.38,-3.81,43.3,h
2,3,16,4,1,4,4,3,8,7,7,7.89,-5,44.1,h
2,3,17,4,2,4,3,3,8,7,7,10.2,-6.29,43.5,h
2,4,18,4,2,2,3,2,8,7,7,9.9,-7.71,44.2,h
3,4,22,4,3,2,3,2,8,7,7,8.11,-7.11,46.7,h
3,4,25,5,3,2,2,2,8,8,7,6.29,-5.92,48.6,h
3,4,18,4,3,3,2,2,8,8,7,4.51,-3.59,48.2,h
3,4,22,5,3,3,2,3,8,8,7,3.38,-5.04,47.1,h
3,4,21,5,3,3,2,3,8,9,7,0.566,-3.11,45.1,h
1,4,22,5,3,3,1,2,8,9,7,-2.07,-1.84,43.5,h
1,4,22,5,2,4,2,2,9,10,7,-3.96,-2.93,42.6,h
1,3,21,5,1,3,1,2,9,10,7,-3.96,-2.93,42.6,h
1,4,19,6,1,3,1,3,9,10,7,-3.96,-2.93,42.6,h
1,4,17,6,1,2,1,3,9,10,7,-3.96,-2.93,42.6,h
1,4,20,7,2,2,1,2,9,10,7,-3.96,-2.93,42.6,h
1,5,15,9,2,2,1,5,9,10,7,-3.96,-2.93,42.6,h
1,5,23,8,2,1,1,7,9,10,7,-3.96,-2.93,42.6,h
1,4,25,7,2,1,1,8,9,10,7,-3.96,-2.93,42.6,h
1,4,23,8,2,0,2,7,10,12,9,-17.5,12.1,29,h
1,5,25,9,3,1,3,7,10,12,9,-17.6,15.5,27.3,h
2,5,25,8,4,2,4,7,10,12,10,-18.1,20,25.5,h
2,6,37,11,6,4,6,8,10,12,10,-20.9,20.8,27,h
2,5,35,11,6,5,7,9,10,12,10,-23,28.2,19.7,h
2,5,38,10,7,6,8,5,10,12,10,-17.5,19.2,28.7,h
2,5,30,11,7,6,7,5,10,12,10,-22.1,19.8,30.7,h
2,5,28,11,8,6,7,4,10,12,10,-22.2,19.2,30,h
2,5,28,10,7,7,6,5,10,12,10,-22.3,20.3,31,h
2,4,29,12,8,6,6,5,10,12,10,-21,19.4,30.6,h
2,5,30,13,6,5,5,5,10,12,10,-20.6,19.7,30.5,h
2,3,18,10,4,3,3,4,10,12,10,-19.9,19.4,30.1,h
2,3,20,9,3,3,2,4,10,12,10,-20.1,18.8,30.2,h
2,3,19,8,3,2,1,5,10,12,10,-20.8,19.5,30.1,h
3,5,20,6,3,2,1,4,10,12,10,-19.7,18.9,31.3,h
3,5,19,7,3,1,1,4,10,12,10,-21.3,20,31.2,h
3,6,23,8,3,1,1,4,10,12,10,-21.2,19.9,29.1,h
2,6,26,6,2,1,1,4,10,12,10,-21.2,20.7,29.2,h
2,6,24,4,2,1,1,4,10,12,10,-22.3,24,28.3,h
2,6,26,4,2,1,1,4,10,12,10,-22.8,22.5,27.5,h
2,6,23,5,3,1,1,3,10,12,9,-24.5,25.1,27.9,h
4,6,20,4,3,1,1,3,10,12,9,-25.3,23.3,28.1,h
4,5,22,4,2,1,1,3,10,12,9,-26,20.6,27.8,h
4,5,23,3,2,1,1,3,10,12,9,-26.5,20.6,28,h
4,4,18,2,2,1,1,3,10,12,9,-26.8,18.9,28.4,h
4,6,11,3,1,1,1,2,10,12,8,-26.4,16,28.4,h
6,7,10,3,1,1,1,5,10,12,8,-25.5,13.8,28.9,h
8,9,9,4,1,1,1,8,10,12,8,-25.5,13.8,28.9,h
8,9,10,3,1,1,1,8,10,12,7,-24.2,9.98,29.4,h
10,14,14,3,1,1,1,8,9,12,7,-23.8,9.24,29.9,h
10,16,12,3,1,1,0,9,9,12,6,-23.6,9.51,31.2,h
11,18,12,4,1,1,0,10,9,12,6,-23.9,8.5,32,h
10,18,16,4,1,1,0,10,9,12,6,-20.4,6.13,33.7,h
12,18,15,6,2,2,1,10,9,11,6,-20.2,5.92,35.2,h
10,21,18,7,2,2,1,9,9,11,5,-17.7,5.59,36.2,h
8,20,20,7,3,1,2,6,9,11,5,-17.2,1.35,36.3,h
9,20,25,8,3,1,2,6,9,11,5,-15.5,2.91,36.9,h
6,17,35,9,3,1,2,6,9,11,5,-14.7,4.94,38,h
7,15,35,9,3,1,2,7,9,11,5,-14.6,4.04,38.6,h
6,14,46,9,3,1,2,8,9,11,5,-16.7,2.97,39.8,h
6,13,41,9,3,1,2,9,9,11,5,-16.9,4.34,40.7,h
5,11,43,6,2,1,2,9,9,11,5,-16.2,4.65,38.9,h
4,7,41,5,2,1,2,9,9,11,5,-16.8,4.77,38.9,h
4,7,39,5,1,1,1,8,9,11,5,-17.2,6.02,38.9,h
5,8,37,5,2,1,1,8,9,11,5,-16.9,4.69,37,h
5,6,28,4,2,1,1,8,9,11,5,-17.2,6.41,36.7,h
4,7,28,3,1,1,1,7,9,11,5,-17,6.07,36.2,h
3,7,25,3,1,1,1,5,9,11,5,-16.4,5.41,36,h
3,7,27,4,1,1,1,4,9,11,5,-16.6,7.23,35.9,h
3,7,31,5,1,1,1,3,9,11,6,-15.3,7.56,34.6,h
4,9,29,6,2,1,1,2,9,11,6,-14.9,6.5,33.5,h
4,8,29,6,2,1,1,2,9,11,6,-13.9,7.73,33.1,h
3,10,26,5,1,1,1,1,9,11,6,-15.2,6.46,33.9,h
2,11,22,7,2,1,1,1,9,11,6,-15.4,9.51,33.8,h
3,12,21,7,2,1,1,1,9,11,6,-14.5,10.1,34.9,h
3,10,12,7,2,1,1,1,9,10,7,-13.3,11.9,34.9,h
2,10,10,6,3,1,1,2,9,10,7,-11.2,11.9,34.5,h
2,10,9,5,2,1,2,2,9,10,7,-12,13.2,35.8,h
2,8,9,7,3,1,2,4,9,10,7,-7.93,13.5,38.8,h
2,9,9,7,3,1,2,4,9,9,7,-9.04,10.8,40.9,h
2,6,12,8,3,1,2,6,9,9,7,-3.44,12.1,44.1,h
3,6,13,7,2,1,2,6,9,8,7,-1.56,12.1,41.5,h
3,3,14,9,2,1,2,6,9,8,8,3.03,11.1,43.3,h
4,3,21,8,2,1,3,6,9,8,8,5.72,9.65,41.5,h
4,4,25,10,2,2,3,6,9,7,8,9.9,8.16,40.4,h
4,4,21,10,3,2,2,7,9,7,8,12.4,6.54,40.6,h
