3,3,3,3,3,3,3,3,8,8,7,7.17,-2.32,41.9,h
3,3,3,3,3,3,3,3,8,8,7,6.93,-2.56,41.9,h
3,3,3,3,3,3,3,3,8,8,7,7.13,-1.95,42.1,h
3,3,3,3,3,3,3,3,8,8,7,7.23,-2.19,41.6,h
2,2,0,0,0,5,10,6,8,8,7,6.82,-2.85,41.7,h
2,1,0,1,0,5,10,6,8,8,7,6.88,-2.07,42,h
2,1,0,1,0,6,15,6,8,8,7,7.17,-1.97,41.4,h
2,1,0,1,0,5,17,5,8,8,7,6.91,-1.72,40.7,h
2,1,0,1,0,5,14,5,8,8,7,7.58,-2.93,42.2,h
2,1,1,1,1,5,17,5,8,8,7,6.54,-1.27,42.1,h
2,1,1,2,1,4,16,5,8,8,7,7.6,-1.84,42.1,h
2,1,4,3,3,4,16,4,8,8,7,5.8,1.68,44.7,h
2,1,7,4,3,4,16,4,8,7,7,7.32,-1.31,46.7,h
2,2,11,4,3,4,15,3,8,8,7,6.7,-7.3,45.5,h
2,3,13,5,3,2,10,4,8,8,7,5.72,-7.91,46,h
2,3,16,7,3,2,5,5,8,8,7,2.25,-4.16,44.4,h
1,3,17,8,3,2,5,5,8,8,7,-0.273,-5.47,43.8,h
2,3,18,9,4,2,3,4,8,9,7,-0.469,-2.27,44.1,h
2,4,29,10,5,3,3,3,8,9,7,-2.91,-2.36,43.9,h
2,3,28,10,3,2,2,4,8,9,7,-4.08,-2.38,43.8,h
2,4,30,11,3,2,2,6,9,10,7,-6.43,1.13,42.3,h
2,3,26,15,3,2,2,6,9,10,7,-7.32,0.762,41.8,h
2,3,25,15,3,2,2,6,9,10,8,-8.96,2.09,40.3,h
2,3,31,12,4,3,3,5,9,10,8,-10.4,1.5,39.6,h
2,4,31,15,4,3,2,5,9,11,8,-13.3,4.73,37.3,h
2,5,32,17,4,3,2,5,9,11,8,-14.7,7.3,35.7,h
2,3,29,15,4,3,2,5,9,11,8,-17.9,9.2,33.9,h
2,4,30,14,4,3,2,4,9,12,9,-18.5,11.3,33.4,h
2,3,27,13,4,2,2,3,10,12,9,-18.6,11.5,30.2,h
1,5,30,8,4,2,1,3,10,12,9,-19.7,13,28.7,h
2,5,29,8,4,3,2,4,10,12,9,-21.1,17.6,26.7,h
2,5,30,8,4,2,1,4,10,12,10,-21.6,17.2,25.4,h
2,5,34,6,3,2,1,4,10,12,10,-24.5,19.3,25.3,h
3,4,39,4,3,2,1,4,10,12,10,-23.8,22.5,21.1,h
3,5,31,4,4,3,2,4,10,12,10,-23.5,17,25.7,h
3,4,29,4,5,3,3,4,10,12,10,-24.8,19.4,26.7,h
3,5,28,5,7,5,3,3,10,12,10,-25.6,20.7,26.9,h
4,4,28,5,8,5,3,3,10,12,10,-25.9,18.8,26.9,h
4,4,29,6,8,4,3,2,10,12,10,-24,17.8,26.9,h
4,4,21,8,9,5,3,2,10,12,10,-22.4,19.5,27.1,h
5,4,17,7,10,5,4,2,10,12,10,-27.6,20.1,28.1,h
3,4,11,7,9,5,4,2,10,12,10,-24.1,18.7,27.4,h
3,5,12,7,8,4,3,1,10,12,10,-26.6,22.3,27.3,h
7,9,15,7,9,4,2,1,10,12,10,-23.3,20,27.7,h
7,8,14,6,6,3,3,2,10,12,10,-25.7,22.7,27.4,h
9,9,13,5,6,3,3,3,10,12,10,-25,21.9,27.1,h
9,9,13,4,6,3,2,3,10,12,9,-26.9,19.7,27.1,h
9,8,11,3,4,2,2,3,10,13,9,-28.8,21.2,26.7,h
9,9,13,3,4,2,1,4,10,13,9,-29,17.1,26.4,h
11,11,14,3,3,2,2,4,10,13,9,-27.2,18.4,27.6,h
10,11,12,3,2,2,1,5,10,13,9,-27.1,14.4,27.2,h
7,9,9,3,1,1,2,5,10,13,8,-26.5,13.1,28.1,h
6,12,12,3,1,1,1,5,10,13,8,-26.7,10.6,27.6,h
6,11,13,4,1,1,1,5,10,13,8,-27.9,12.9,28.9,h
6,11,19,5,1,1,1,8,10,13,8,-28.1,10.5,28.2,h
6,12,22,4,1,1,1,10,9,13,7,-27.9,8.16,30,h
6,13,22,3,1,1,1,11,9,13,7,-27.9,8.16,30,h
8,13,25,3,1,1,1,12,9,13,7,-27.9,8.16,30,h
8,16,30,5,1,1,1,12,9,13,7,-27.9,8.16,30,h
8,15,35,5,1,1,1,11,9,12,6,-24.5,6.02,32,h
8,12,39,6,1,1,0,11,9,12,6,-24.5,6.02,32,h
7,13,40,7,1,1,1,12,9,12,6,-24.5,6.02,32,h
11,18,36,7,1,1,1,10,9,12,6,-24.5,6.02,32,h
12,20,37,9,1,1,1,7,9,12,6,-24.5,6.02,32,h
12,17,38,10,1,1,1,6,8,11,5,-15.4,-4.24,36,h
11,17,34,10,2,2,1,7,8,11,5,-15.4,-4.24,36,h
11,14,33,8,2,2,1,7,8,11,5,-15.4,-4.24,36,h
11,13,36,7,2,2,2,9,8,11,5,-15.4,-4.24,36,h
13,17,31,7,2,2,2,10,8,11,5,-15.4,-4.24,36,h
14,19,30,7,2,2,2,8,8,11,5,-18,-1.09,37.7,h
11,13,32,6,2,2,2,9,8,11,5,-17.1,0.234,35.9,h
9,12,32,5,2,2,2,9,9,11,5,-17.8,0.0391,36,h
9,12,31,4,2,2,2,8,9,11,5,-17.2,0.664,34.9,h
9,13,33,5,2,2,2,6,9,11,5,-19.5,-0.781,36.9,h
11,17,33,7,2,2,2,7,9,11,5,-17.6,1.04,34.5,h
11,17,28,7,2,2,1,5,9,11,5,-16.5,2.48,33.9,h
9,13,27,6,1,1,1,4,9,11,6,-15.2,2.44,33.3,h
9,12,26,7,1,1,1,4,9,11,6,-13.1,4.1,33.5,h
8,14,25,7,1,1,1,3,9,11,6,-16.7,3.26,35.6,h
8,14,26,7,1,2,1,3,9,11,6,-15.9,4.65,36.8,h
8,14,25,10,1,1,1,3,9,10,7,-15,5.21,36.5,h
6,11,29,12,1,1,0,4,9,10,7,-13.9,6.5,40.6,h
4,7,25,12,3,1,1,4,9,10,7,-9.38,7.17,40.4,h
5,7,25,13,2,2,2,5,9,9,7,-6.72,6.52,43.2,h
5,6,26,14,3,2,2,6,9,9,7,-3.73,7.11,44.7,h
5,7,27,14,3,2,2,6,9,9,7,-0.137,4.73,46.1,h
3,6,24,15,3,2,3,6,9,8,7,2.71,5.39,47.3,h
3,6,20,16,4,4,3,6,9,8,7,2.99,4.55,48.2,h
5,5,25,13,5,4,4,6,9,8,7,5.25,1.86,48.2,h
5,6,18,12,5,5,5,6,9,8,7,4.28,3.71,46.3,h
6,5,21,10,4,6,9,6,9,8,7,5.74,0.703,44.7,h
5,6,22,9,4,6,8,4,9,8,7,5.37,1.89,43.4,h
5,7,19,9,4,10,13,5,9,8,7,4.75,0.859,42.8,h
5,4,20,9,4,10,14,5,9,8,7,5.98,-1.27,39.1,h
