3,3,3,3,3,3,3,3,7,8,12,3.52,-23.2,32.6,b
3,3,3,3,3,3,3,3,7,8,12,16.1,-18.8,25.7,b
3,3,3,3,3,3,3,3,7,8,12,-8.36,-27.4,36.1,b
3,3,3,3,3,3,3,3,7,8,12,-16.7,-29.7,9.41,b
1,1,4,9,1,1,1,1,7,8,12,2.81,-25.9,41.8,b
1,1,5,8,1,0,1,0,7,8,12,3.95,-23.4,32.1,b
1,2,5,8,1,0,1,0,7,8,12,4.36,-23.2,32.2,b
1,1,4,7,1,1,1,0,7,8,12,14.4,-22.8,37.4,b
1,2,5,7,2,1,1,0,7,8,12,-9.2,-29.3,29.9,b
1,2,5,7,2,1,1,0,7,8,12,4.45,-23.4,32.7,b
1,2,6,5,2,1,1,0,7,8,12,4.02,-24.3,32.9,b
1,2,7,6,2,1,1,0,7,8,12,4.1,-24.3,34.2,b
1,5,11,9,2,1,1,1,7,8,12,7.19,-23.4,33.7,b
1,5,14,9,2,1,1,1,7,8,12,6.33,-26.1,34.6,b
1,5,17,9,2,1,1,1,7,8,12,7.21,-24.9,35.2,b
1,6,20,8,1,1,1,1,7,8,12,5.37,-26.4,41.1,b
1,6,20,8,1,1,0,1,7,8,12,0.742,-14.9,40.2,b
1,6,21,8,1,1,1,1,7,9,12,-2.52,-22,41.1,b
2,9,30,9,1,1,0,1,7,9,12,-5.88,-18.8,39.6,b
2,10,29,14,2,1,0,1,7,10,12,-8.87,-17,38.6,b
2,13,36,13,2,1,1,1,7,10,12,-13.7,-16.7,36.4,b
2,13,34,17,2,1,1,2,7,11,12,-15.9,-15.6,33.9,b
2,16,36,16,2,1,1,2,7,12,12,-18.5,-12.5,30.9,b
2,18,43,18,2,2,1,2,7,12,13,-20,-13.2,28.6,b
2,20,46,20,3,3,2,2,8,13,13,-22.8,-10.9,26.8,b
4,21,49,23,4,4,2,4,8,13,13,-28.9,-8.83,13.4,b
5,25,44,22,4,5,2,4,8,13,13,-37.3,-8.03,10.5,b
5,28,52,16,3,5,3,4,8,14,13,-10.5,-6.39,21.4,b
6,24,42,16,3,6,3,5,8,14,13,-31.3,-6.02,17,b
6,24,41,18,4,9,3,7,8,15,13,-33.9,-3.65,14.2,b
8,27,50,23,5,12,4,12,8,15,13,-34.3,-3.46,13,b
